Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,144.000000,146.190002,144.000000,144.940002,143.390854,3526600
2018-07-12,145.850006,146.830002,145.740005,146.449997,144.884705,3119500
2018-07-13,146.449997,146.979996,145.800003,145.899994,144.340576,3062600
2018-07-16,145.669998,145.789993,144.210007,145.460007,143.905289,3468800
2018-07-17,144.750000,145.000000,143.339996,143.490005,141.956345,5096700
2018-07-18,143.509995,144.800003,142.740005,144.520004,142.975342,6935300
2018-07-19,147.850006,150.539993,147.250000,149.240005,147.644897,14655800
2018-07-20,148.580002,148.860001,146.259995,146.350006,144.785782,6414600
2018-07-23,146.350006,146.699997,145.009995,145.699997,144.142715,3897900
2018-07-24,146.699997,147.039993,145.919998,146.380005,144.815460,3891600
2018-07-25,146.009995,146.649994,145.500000,146.619995,145.052887,3630900
2018-07-26,147.429993,149.270004,146.630005,146.710007,145.141937,4778000
2018-07-27,146.889999,147.139999,144.660004,145.149994,143.598602,3749300
2018-07-30,144.800003,146.240005,144.690002,145.490005,143.934967,3608200
2018-07-31,145.740005,145.800003,144.160004,144.929993,143.380951,5474200
2018-08-01,144.759995,145.190002,143.339996,143.500000,141.966232,3388400
2018-08-02,142.860001,143.360001,142.330002,142.960007,141.432022,3841400
2018-08-03,143.240005,147.919998,143.000000,147.699997,146.121338,8053600
2018-08-06,146.949997,147.199997,145.570007,146.029999,144.469193,3913700
2018-08-07,146.649994,147.639999,146.350006,147.009995,145.438721,3508800
2018-08-08,147.330002,147.429993,146.240005,146.889999,145.320007,3581100
2018-08-09,145.529999,145.940002,144.729996,144.770004,144.770004,3093500
2018-08-10,144.500000,145.070007,143.880005,144.479996,144.479996,3003100
