Date,Open,High,Low,Close,Adj Close,Volume
2018-07-12,118.000000,118.260002,117.940002,118.129997,118.129997,4585300
2018-07-13,117.620003,117.750000,117.449997,117.610001,117.610001,5444300
2018-07-16,117.510002,117.629997,117.279999,117.550003,117.550003,3670700
2018-07-17,116.720001,116.930000,116.120003,116.279999,116.279999,7939600
2018-07-18,116.029999,116.349998,115.830002,116.309998,116.309998,5391800
2018-07-19,115.129997,116.470001,115.120003,115.809998,115.809998,14227600
2018-07-20,116.400002,116.709999,116.239998,116.559998,116.559998,7892000
2018-07-23,116.250000,116.309998,115.760002,116.000000,116.000000,6247100
2018-07-24,116.220001,116.430000,115.910004,116.040001,116.040001,4801000
2018-07-25,116.790001,116.839996,116.269997,116.680000,116.680000,5479600
2018-07-26,116.239998,116.510002,115.769997,115.769997,115.769997,6382700
2018-07-27,115.919998,116.239998,115.769997,115.830002,115.830002,5242000
2018-07-30,115.800003,116.019997,115.639999,115.650002,115.650002,4157400
2018-07-31,115.470001,116.349998,115.389999,115.989998,115.989998,5508500
2018-08-01,115.629997,115.699997,115.129997,115.139999,115.139999,7941700
2018-08-02,115.169998,115.230003,114.419998,114.519997,114.519997,6204200
2018-08-03,115.089996,115.529999,114.860001,114.919998,114.919998,5953200
2018-08-06,114.559998,114.720001,114.309998,114.330002,114.330002,5811600
2018-08-07,114.849998,114.940002,114.419998,114.589996,114.589996,5188000
2018-08-08,114.750000,114.949997,114.410004,114.910004,114.910004,3808000
2018-08-09,115.019997,115.120003,114.690002,114.739998,114.739998,4252300
2018-08-10,114.809998,115.230003,114.610001,114.690002,114.690002,6756800
